Wavelength	Ganancia relativa	error
480.000000	0.670530	0.009392
480.040000	0.673808	0.007178
480.278775	0.677018	0.009430
480.410000	0.679922	0.019647
480.770000	0.682840	0.014547
481.000000	0.685543	0.021309
481.140000	0.688202	0.025299
481.174234	0.691105	0.026512
481.510000	0.694482	0.013346
481.870000	0.697823	0.008534
482.000000	0.701226	0.009454
482.069694	0.704821	0.010847
482.240000	0.708136	0.008766
482.610000	0.711333	0.014004
482.965153	0.714521	0.016914
482.970000	0.717669	0.020059
483.000000	0.720982	0.022059
483.340000	0.724139	0.008292
483.710000	0.727275	0.008920
483.860612	0.730392	0.009960
484.000000	0.733285	0.010920
484.070000	0.736009	0.011204
484.440000	0.739378	0.005538
484.756072	0.742797	0.024931
484.800000	0.746319	0.024637
485.000000	0.749883	0.024876
485.170000	0.753270	0.034807
485.540000	0.756472	0.045552
485.651531	0.759452	0.031779
485.900000	0.762298	0.003629
486.000000	0.765384	0.002117
486.270000	0.768683	0.051308
486.546990	0.772018	0.045944
486.630000	0.775283	0.046641
487.000000	0.778645	0.002992
487.370000	0.781845	0.010085
487.442450	0.784929	0.006969
487.730000	0.787657	0.004141
488.000000	0.790391	0.011135
488.100000	0.793115	0.018972
488.337909	0.795751	0.016315
488.460000	0.798288	0.013767
488.830000	0.800790	0.002162
489.000000	0.803429	0.002582
489.190000	0.806320	0.011379
489.233369	0.809135	0.012380
489.560000	0.812059	0.001894
489.930000	0.815023	0.026070
490.000000	0.817914	0.021115
490.128828	0.820275	0.022375
490.290000	0.822306	0.024895
490.660000	0.824237	0.016903
491.000000	0.826305	0.010996
491.020000	0.828363	0.009397
491.024287	0.830486	0.007539
491.390000	0.833091	0.028017
491.750000	0.835733	0.016604
491.919747	0.838264	0.013588
492.000000	0.840599	0.011017
492.120000	0.842818	0.001052
492.480000	0.844674	0.015126
492.815206	0.846644	0.028570
492.850000	0.848583	0.031318
493.000000	0.850296	0.033927
493.210000	0.851727	0.042395
493.580000	0.853063	0.030999
493.710665	0.854361	0.021618
493.940000	0.855514	0.006329
494.000000	0.856532	0.009044
